"","Tower","T_N","T_E","T_Lat","T_Long","Antenna","EstAzimuth","CalcAzimuth","Date","L_ID","L_Lat","L_Long","L_N","L_E","Power"
"1","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,2,113,185.074831963543,"4/20/2019","T4_02_13",41.97131121,-93.64865362,4646794.405,446255.804,68
"2","T3_02",4646777.805,446578.309,41.97118363,-93.64475995,1,210,272.524756936501,"4/20/2019","T4_02_13",41.97131121,-93.64865362,4646794.405,446255.804,65
"3","T4_02",4646780.85,446277.163,41.97119058,-93.64839461,2,20,302.064152847188,"4/20/2019","T4_02_13",41.97131121,-93.64865362,4646794.405,446255.804,133
"4","T4_02",4646780.85,446277.163,41.97119058,-93.64839461,3,80,302.064152847188,"4/20/2019","T4_02_13",41.97131121,-93.64865362,4646794.405,446255.804,117
"5","T4_02",4646780.85,446277.163,41.97119058,-93.64839461,4,137,302.064152847188,"4/20/2019","T4_02_13",41.97131121,-93.64865362,4646794.405,446255.804,119
"6","T4_02",4646780.85,446277.163,41.97119058,-93.64839461,1,315,302.064152847188,"4/20/2019","T4_02_13",41.97131121,-93.64865362,4646794.405,446255.804,150
"7","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,2,113,184.489863697289,"4/21/2019","M4_02_18",41.97112097,-93.64863766,4646773.273,446256.966,64
"8","T3_02",4646777.805,446578.309,41.97118363,-93.64475995,1,210,268.756211383684,"4/21/2019","M4_02_18",41.97112097,-93.64863766,4646773.273,446256.966,67
"9","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,1,49,252.174890448874,"4/20/2019","T1_02_13",41.97385017,-93.64862709,4647076.287,446260.136,113.5
"10","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,2,113,252.174890448874,"4/20/2019","T1_02_13",41.97385017,-93.64862709,4647076.287,446260.136,131
"11","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,3,174,252.174890448874,"4/20/2019","T1_02_13",41.97385017,-93.64862709,4647076.287,446260.136,133
"12","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,4,240,252.174890448874,"4/20/2019","T1_02_13",41.97385017,-93.64862709,4647076.287,446260.136,95.5
"13","T2_02",4647078.604,446584.295,41.97389307,-93.64471502,2,210,269.156243184095,"4/20/2019","T1_02_13",41.97385017,-93.64862709,4647076.287,446260.136,65
"14","T4_02",4646780.85,446277.163,41.97119058,-93.64839461,1,315,356.281779960936,"4/20/2019","T1_02_13",41.97385017,-93.64862709,4647076.287,446260.136,79
"15","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,2,113,184.034538871252,"4/20/2019","T4_02_12",41.97136863,-93.6485841,4646800.737,446261.612,70
"16","T3_02",4646777.805,446578.309,41.97118363,-93.64475995,1,210,273.724151992588,"4/20/2019","T4_02_12",41.97136863,-93.6485841,4646800.737,446261.612,68
"17","T4_02",4646780.85,446277.163,41.97119058,-93.64839461,2,20,321.647258475372,"4/20/2019","T4_02_12",41.97136863,-93.6485841,4646800.737,446261.612,133.5
"18","T4_02",4646780.85,446277.163,41.97119058,-93.64839461,3,80,321.647258475372,"4/20/2019","T4_02_12",41.97136863,-93.6485841,4646800.737,446261.612,122.5
"19","T4_02",4646780.85,446277.163,41.97119058,-93.64839461,4,137,321.647258475372,"4/20/2019","T4_02_12",41.97136863,-93.6485841,4646800.737,446261.612,118
"20","T4_02",4646780.85,446277.163,41.97119058,-93.64839461,1,315,321.647258475372,"4/20/2019","T4_02_12",41.97136863,-93.6485841,4646800.737,446261.612,155
"21","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,1,49,232.364096228014,"4/20/2019","T1_02_12",41.97378187,-93.64858015,4647068.674,446263.968,120
"22","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,2,113,232.364096228014,"4/20/2019","T1_02_12",41.97378187,-93.64858015,4647068.674,446263.968,136
"23","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,3,174,232.364096228014,"4/20/2019","T1_02_12",41.97378187,-93.64858015,4647068.674,446263.968,134
"24","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,4,240,232.364096228014,"4/20/2019","T1_02_12",41.97378187,-93.64858015,4647068.674,446263.968,113
"25","T2_02",4647078.604,446584.295,41.97389307,-93.64471502,2,210,267.785165049336,"4/20/2019","T1_02_12",41.97378187,-93.64858015,4647068.674,446263.968,63
"26","T4_02",4646780.85,446277.163,41.97119058,-93.64839461,1,315,356.952899752199,"4/20/2019","T1_02_12",41.97378187,-93.64858015,4647068.674,446263.968,79
"27","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,1,49,186.478340594407,"4/21/2019","M5_02_01",41.97246149,-93.64856472,4646922.064,446264.137,57.5
"28","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,2,113,186.478340594407,"4/21/2019","M5_02_01",41.97246149,-93.64856472,4646922.064,446264.137,81
"29","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,3,174,186.478340594407,"4/21/2019","M5_02_01",41.97246149,-93.64856472,4646922.064,446264.137,68.5
"30","T3_02",4646777.805,446578.309,41.97118363,-93.64475995,1,210,294.311901747673,"4/21/2019","M5_02_01",41.97246149,-93.64856472,4646922.064,446264.137,59
"31","T3_02",4646777.805,446578.309,41.97118363,-93.64475995,2,266,294.311901747673,"4/21/2019","M5_02_01",41.97246149,-93.64856472,4646922.064,446264.137,57
"32","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,1,49,186.490963385731,"4/21/2019","M3_02_01",41.97253845,-93.64855338,4646930.602,446265.141,61
"33","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,2,113,186.490963385731,"4/21/2019","M3_02_01",41.97253845,-93.64855338,4646930.602,446265.141,88
"34","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,3,174,186.490963385731,"4/21/2019","M3_02_01",41.97253845,-93.64855338,4646930.602,446265.141,69.5
"35","T2_02",4647078.604,446584.295,41.97389307,-93.64471502,2,210,244.607776849961,"4/21/2019","M3_02_01",41.97253845,-93.64855338,4646930.602,446265.141,57
"36","T3_02",4646777.805,446578.309,41.97118363,-93.64475995,1,210,295.659925664818,"4/21/2019","M3_02_01",41.97253845,-93.64855338,4646930.602,446265.141,58
"37","T2_02",4647078.604,446584.295,41.97389307,-93.64471502,2,210,277.010645671606,"4/21/2019","M2_02_17",41.97424235,-93.64853616,4647119.774,446268,67
"38","T2_02",4647078.604,446584.295,41.97389307,-93.64471502,4,327,277.010645671606,"4/21/2019","M2_02_17",41.97424235,-93.64853616,4647119.774,446268,58
"39","T1_02",4647083.67,446283.796,41.97391827,-93.64834222,1,49,336.015634909344,"4/21/2019","M2_02_17",41.97424235,-93.64853616,4647119.774,446268,115
