Date,Time,Channel,BPM,Tower,Antenna,Power,L_ID,T_Lat,T_Long,T_N,T_E,EstAzimuth
4/21/2019,17:43:32,87,35.9,T1_02,1,109,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:43:34,87,35.9,T1_02,1,107,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:43:36,87,35.9,T1_02,1,103,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:43:39,87,35.9,T1_02,2,91,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:43:41,87,35.9,T1_02,2,89,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:43:42,87,35.9,T1_02,2,91,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:43:46,87,35.9,T1_02,3,77,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:43:47,87,35.9,T1_02,3,78,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:43:51,87,35.9,T1_02,4,86,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:43:52,87,35.9,T1_02,4,84,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:43:54,87,35.9,T1_02,4,84,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:43:57,87,35.9,T1_02,1,106,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:43:59,87,35.9,T1_02,1,106,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:44:03,87,35.9,T1_02,2,88,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:44:04,87,35.8,T1_02,2,90,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:44:06,87,35.8,T1_02,2,90,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:44:09,87,35.8,T1_02,3,79,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:44:11,87,35.8,T1_02,3,78,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:44:13,87,35.8,T1_02,3,80,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:44:16,87,35.8,T1_02,4,79,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:44:18,87,35.8,T1_02,4,80,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:44:21,87,35.8,T1_02,1,102,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:44:23,87,35.8,T1_02,1,102,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:44:24,87,35.8,T1_02,1,103,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:44:28,87,35.8,T1_02,2,93,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:44:29,87,35.8,T1_02,2,92,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:44:33,87,35.8,T1_02,3,78,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:44:34,87,35.8,T1_02,3,76,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:44:36,87,35.8,T1_02,3,79,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:44:39,87,35.8,T1_02,4,78,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:44:41,87,35.8,T1_02,4,81,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:44:44,87,35.8,T1_02,1,97,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:44:46,87,35.8,T1_02,1,98,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:44:48,87,35.8,T1_02,1,96,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:44:51,87,35.8,T1_02,2,92,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:44:53,87,35.8,T1_02,2,92,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:44:54,87,35.8,T1_02,2,90,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,113
4/21/2019,17:44:58,87,35.8,T1_02,3,78,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:44:59,87,35.9,T1_02,3,77,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,174
4/21/2019,17:45:03,87,35.8,T1_02,4,75,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:45:04,87,35.9,T1_02,4,74,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:45:06,87,35.9,T1_02,4,73,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,240
4/21/2019,17:45:10,87,35.9,T1_02,1,90,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
4/21/2019,17:45:11,87,35.9,T1_02,1,90,M1_02_01,41.97391827,-93.64834222,4647083.67,446283.796,49
