"L_ID","type"
"T4_02_13","circle"
"M4_02_18","location"
"T1_02_13","circle"
"T4_02_12","circle"
"T1_02_12","circle"
"M5_02_01","location"
"M3_02_01","location"
"M2_02_17","location"
"T4_02_11","circle"
"T1_02_11","circle"
"T4_02_10","circle"
"T1_02_10","circle"
"T4_02_01","circle"
"T4_02_09","circle"
"T1_02_09","circle"
"T4_02_02","circle"
"T1_02_01","circle"
"RL_02_24","location"
"T4_02_08","circle"
"T1_02_08","circle"
"T4_02_03","circle"
"T1_02_02","circle"
"T4_02_07","circle"
"T4_02_04","circle"
"T4_02_06","circle"
"T4_02_05","circle"
"T1_02_07","circle"
"T1_02_03","circle"
"T1_02_06","circle"
"T1_02_04","circle"
"T1_02_05","circle"
"RL_02_05","location"
"RL_02_25","location"
"RL_02_19","location"
"RL_02_04","location"
"RL_02_09","location"
"M1_02_01","location"
"RL_02_18","location"
"M1_02_14","location"
"RL_02_26","location"
"RL_02_03","location"
"RL_02_21","location"
"RL_02_22","location"
"T3_02_04","circle"
"T3_02_5","circle"
"D1_01_01","distance"
"T3_02_03","circle"
"T3_02_6","circle"
"T2_01_09","circle"
"T2_02_09","circle"
"T2_01_10","circle"
"T2_02_10","circle"
"T2_02_08","circle"
"T3_01_13","circle"
"T2_01_08","circle"
"T3_02_07","circle"
"T2_02_11","circle"
"T3_02_02","circle"
"T2_01_11","circle"
"T2_02_07","circle"
"T2_01_07","circle"
"T2_02_12","circle"
"T2_01_12","circle"
"T2_02_06","circle"
"T3_02_08","circle"
"T3_01_12","circle"
"T3_01_02","circle"
"T3_02_01","circle"
"T2_01_06","circle"
"D1_01_02","distance"
"D2_01_01","distance"
"D3_01_01","distance"
"D4_01_01","distance"
"D5_01_01","distance"
"D6_01_01","distance"
"D7_01_01","distance"
"D8_01_01","distance"
"T3_01_01","circle"
"T2_02_13","circle"
"D1_01_03","distance"
"D2_01_02","distance"
"D3_01_02","distance"
"D4_01_02","distance"
"D5_01_02","distance"
"D6_01_02","distance"
"D7_01_02","distance"
"D8_01_02","distance"
"T2_01_13","circle"
"T2_02_05","circle"
"D1_01_04","distance"
"D2_01_03","distance"
"D3_01_03","distance"
"D4_01_03","distance"
"D5_01_03","distance"
"D6_01_03","distance"
"D7_01_03","distance"
"D8_01_03","distance"
"D1_01_05","distance"
"D2_01_04","distance"
"D3_01_04","distance"
"D4_01_04","distance"
"D5_01_04","distance"
"D6_01_04","distance"
"D7_01_04","distance"
"D8_01_04","distance"
"T3_02_09","circle"
"M2_02_01","location"
"T3_01_11","circle"
"D1_01_06","distance"
"D2_01_05","distance"
"D3_01_05","distance"
"D4_01_05","distance"
"D5_01_05","distance"
"D6_01_05","distance"
"D7_01_05","distance"
"D8_01_05","distance"
"T3_01_03","circle"
"D1_01_07","distance"
"D2_01_06","distance"
"D3_01_06","distance"
"D4_01_06","distance"
"D5_01_06","distance"
"D6_01_06","distance"
"D8_01_06","distance"
"D1_01_08","distance"
"D2_01_07","distance"
"D3_01_07","distance"
"D4_01_07","distance"
"D5_01_07","distance"
"D6_01_07","distance"
"D1_01_09","distance"
"D2_01_08","distance"
"D3_01_08","distance"
"D4_01_08","distance"
"D5_01_08","distance"
"D6_01_08","distance"
"TT_01_E","circle"
"TT_01_T2","circle"
"TT_01_T3","circle"
"TT_01_W","circle"
"D1_01_10","distance"
"D2_01_09","distance"
"D3_01_09","distance"
"D4_01_09","distance"
"D5_01_09","distance"
"D6_01_09","distance"
"T2_01_05","circle"
"D1_01_11","distance"
"D2_01_10","distance"
"D3_01_10","distance"
"D4_01_10","distance"
"D5_01_10","distance"
"D6_01_10","distance"
"D1_01_12","distance"
"D2_01_11","distance"
"D3_01_11","distance"
"D4_01_11","distance"
"D5_01_11","distance"
"D6_01_11","distance"
"D7_01_11","distance"
"D1_01_13","distance"
"D2_01_12","distance"
"D3_01_12","distance"
"D4_01_12","distance"
"D5_01_12","distance"
"D6_01_12","distance"
"D8_01_12","distance"
"D1_01_14","distance"
"D2_01_13","distance"
"D3_01_13","distance"
"D4_01_13","distance"
"D5_01_13","distance"
"D6_01_13","distance"
"D7_01_13","distance"
"D8_01_13","distance"
"T2_02_04","circle"
"D2_01_15","distance"
"D3_01_15","distance"
"D4_01_15","distance"
"D5_01_15","distance"
"D6_01_15","distance"
"D7_01_15","distance"
"D8_01_15","distance"
"T2_01_01","circle"
"D1_01_15","distance"
"D2_01_14","distance"
"D3_01_14","distance"
"D4_01_14","distance"
"D5_01_14","distance"
"D6_01_14","distance"
"D7_01_14","distance"
"D8_01_14","distance"
"T3_01_10","circle"
"T3_02_10","circle"
"T3_01_04","circle"
"T2_01_04","circle"
"T2_02_03","circle"
"T3_01_09","circle"
"T3_01_05","circle"
"T3_02_11","circle"
"T3_01_08","circle"
"T3_01_06","circle"
"T3_01_07","circle"
"T2_01_03","circle"
"T3_02_12","circle"
"T2_02_02","circle"
"T3_02_13","circle"
"T2_01_02","circle"
"T2_02_01","circle"
"M5_02_14","location"
"M3_02_13","location"
"M4_02_01","location"
