L_ID,Description,Date,Time,L_N,L_E
M2_01,SEtoNW,4/21/2019,17:56:45,4646760.097,446578.56
M2_02,SEtoNW,4/21/2019,17:57:15,4646780.257,446561.17
M2_03,SEtoNW,4/21/2019,17:57:45,4646798.83,446545.042
M2_04,SEtoNW,4/21/2019,17:58:15,4646816.997,446530.239
M2_05,SEtoNW,4/21/2019,17:58:45,4646837.335,446514.354
M2_06,SEtoNW,4/21/2019,17:59:15,4646857.254,446497.041
M2_07,SEtoNW,4/21/2019,17:59:45,4646878.597,446479.246
M2_08,SEtoNW,4/21/2019,18:00:15,4646899.817,446460.518
M2_09,SEtoNW,4/21/2019,18:00:45,4646922.91,446440.696
M2_10,SEtoNW,4/21/2019,18:01:15,4646947.136,446419.68
M2_11,SEtoNW,4/21/2019,18:01:45,4646972.682,446396.898
M2_12,SEtoNW,4/21/2019,18:02:15,4646998.077,446374.18
M2_13,SEtoNW,4/21/2019,18:02:45,4647022.056,446351.475
M2_14,SEtoNW,4/21/2019,18:03:15,4647046.381,446328.942
M2_15,SEtoNW,4/21/2019,18:03:45,4647070.919,446306.326
M2_16,SEtoNW,4/21/2019,18:04:15,4647095.015,446284.353
M2_17,SEtoNW,4/21/2019,18:04:45,4647119.774,446268
